,Parada
0,CIBELES
1,Gran Vía-Pedro Zerolo
2,Gran Vía-Montera
3,Gran Vía-Callao
4,Santo Domingo
5,Gran Vía-Plaza de España
6,Jardines de Sabatini
7,Príncipe Pío
8,Intercambiador de Príncipe Pío
9,San Antonio de la Florida
10,Avenida de Valladolid-Brigada Tráfico
11,Puente de los Franceses-Clínica Moncloa
12,Senda del Rey
13,Consejo Superior de Deportes
14,Juan Herrera
15,Cardenal Cisneros
16,Metro Ciudad Universitaria
17,Avenida Complutense-Jardín Botánico
18,Paraninfo-Matemáticas
19,Paraninfo-Telecomunicaciones
20,Paraninfo-CIEMAT
21,Avenida de Miraflores-Dehesa de la Villa
22,Navalperal-Madrigal
23,Fernández Clausells-Mártires Maristas
24,Fernández Clausells-Isla de Oza
25,Isla de Oza-San Martín de Porres
26,San Martín de Porres-Guisando
27,Joaquín Lorenzo-Doctor Castroviejo
28,Joaquín Lorenzo-Avenida Ilustración
29,Islas Aleutianas-Joaquín Lorenzo
30,Herrera Oria-Camino Fuencarral
31,Arroyofresno-Herrera Oria
32,Fresnedillas
33,Gabriela Mistral-Alas Clarín
34,Rodríguez Castelao-Gabriela Mistral
35,Rosalía de Castro-Gabriela Mistral
36,Irene Caba Alba-María de Maeztu
37,María de Maeztu-Teresa Claramunt
38,PITIS (C/ María Casares)
