,Parada
0,CIBELES
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Reina Sofía
5,Teatro Circo Price
6,Embajadores
7,Embajadores-Santa María de la Cabeza
8,Santa María de la Cabeza-Puente de Praga
9,Santa María de la Cabeza-Parque Bomberos
10,Puente de los Capuchinos
11,Santa María de la Cabeza-Zújar
12,Plaza Elíptica
13,La Vía-Plaza Elíptica
14,Opañel
15,Camino Viejo Leganés-Valle del Oro
16,Oporto
17,Puerta Bonita
18,Plaza Vista Alegre
19,General Ricardos-Marcelino Camacho
20,Marcelino Camacho-Laguna
21,Carabanchel-Hospital Militar
22,Guabairo
23,Polideportivo La Mina
24,Codorniz
25,Eugenia de Montijo-Fátima
26,Plaza del Parterre
27,Metro Carabanchel Alto
28,Avenida Carabanchel Alto-Gómez Arteche
29,Alfredo Aleix-Centro Integrado
30,Alfredo Aleix-Gómez Arteche
31,Piqueñas-Jacobo
32,Jacobeo-Pinar de San José
33,La Peseta-Pinar de San José
34,Metro La Peseta
35,CARABANCHEL ALTO
