,Parada
0,"CIBELES-CASA DE AMÉRICA (Paseo de Recoletos, 2)"
1,Biblioteca Nacional
2,Colón
3,Castellana-Ministerio Interior
4,Castellana-Rubén Darío
5,Emilio Castelar
6,Serrano-María de Molina
7,Velázquez-López de Hoyos
8,Velázquez-Rodríguez Marín
9,Doctor Arce
10,Santa Gema
11,Plaza de Cataluña
12,Príncipe de Vergara-Serrano
13,Colombia
14,Plaza del Perú
15,Pío XII-Centro Comercial
16,Pío XII-Comandante Franco
17,Caídos División Azul
18,Arturo Soria-Añastro
19,Arturo Soria-Julio Dánvila
20,San Luis-Arturo Soria
21,San Luis-Mesena
22,San Luis-Almanzora
23,Almanzora-Bacares
24,Almanzora
25,Mojácar
26,Roquetas de Mar
27,Jazmín-Golfo de Salónica
28,Ingeniero Herrera-Príncipe Carlos
29,Metro Virgen del Cortijo
30,Avenida de Manoteras-Fuente de la Mora
31,Virgen del Cortijo
32,Avenida de Manoteras-Oña
33,Pi y Margall-Ana de Austria
34,Pi y Margall-Isabel de Valois
35,Ana de Austria-Princesa de Éboli
36,Ana de Austria-Príncipe Carlos
37,Ana de Austria-Alcalá Zamora
38,Ingeniero Herrera-Príncipe Carlos
39,Álvarez de Villaamil
40,Pi y Margall-Príncipe Carlos
41,Pi y Margall-Alcalá Zamora
42,SANCHINARRO (Av. Niceto Alcalá Zamora-Av. F. Pi y Margall)
