,Parada
0,CIBELES-AYUNTAMIENTO
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Estación de Atocha
5,Metro Menéndez Pelayo
6,Amanecer en Méndez Álvaro
7,Méndez Álvaro-REPSOL
8,Metro Méndez Álvaro
9,Estación Sur
10,Méndez Álvaro-Estación Sur
11,Avenida de Entrevías-Méndez Álvaro
12,Avenida de Entrevías-Convenio
13,Avenida de Entrevías-Mejorana
14,Cardeñosa-Avenida de Entrevías
15,Cardeñosa-Lagartera
16,Plaza de las Regiones
17,Serena-Campiña
18,Barros-Villuercas
19,Ronda Sur-Avenida de las Glorietas
20,Ronda Sur-Depósito de Agua
21,Avenida de Entrevías-Esteban Carros
22,Buenos Aires-Mogambo
23,Buenos Aires-Pablo Neruda
24,Pablo Neruda-Cenicienta
25,Pablo Neruda-Santos Inocentes
26,MADRID SUR (Pza. Asamblea Madrid)
