,Parada
0,"CIBELES (Pº Prado, 1)"
1,Puerta de Alcalá-Retiro
2,O Donnell-Retiro
3,Menéndez Pelayo-Menorca
4,Menéndez Pelayo-Sainz de Baranda
5,Sáinz de Baranda-Maiquez
6,Metro Sainz de Baranda
7,Samaria
8,Astros
9,Estrella
10,Vinateros-Centro Comercial
11,Vinateros-Media Legua
12,Media Legua
13,Entrearroyos
14,Corregidor Sancho de Córdoba
15,Plaza del Encuentro
16,Hacienda de Pavones-Alonso de Tobar
17,Hacienda de Pavones-Cañada
18,Corregidor Conde Maceda
19,Encomienda de Palacios-Pico Artilleros
20,Encomienda de Palacios-Tacona
21,Fuente Carrantona-Encomienda de Palacios
22,Fuente Carrantona-Hacienda de Pavones
23,Fuente Carrantona-Luis de Hoyos
24,Luis de Hoyos
25,Pico Artilleros
26,Pico Artilleros-García Tapia
27,García Tapia-Molina de Segura
28,García Tapia-Oberón
29,Fuente Carrantona-García Tapia
30,García Tapia-Laponia
31,García Tapia-M40
32,VALDEBERNANDO (Blvr. Indalecio Prieto)
