,Parada
0,"CIBELES-CASA DE AMÉRICA (Paseo de Recoletos, 2)"
1,Biblioteca Nacional
2,Velázquez-Goya
3,Velázquez-Ortega y Gasset
4,Velázquez-Juan Bravo
5,Velázquez-Diego de León
6,Velázquez-María de Molina
7,María de Molina
8,Intercambiador de Avenida de América
9,Puente de CEA
10,Josefa Valcárcel-INE
11,Diario ABC
12,Juan Ignacio Luca de Tena-Juana I
13,Juan Ignacio Luca de Tena-Botánico
14,Ricardo Velázquez Bosco
15,Marquesado de Santa Marta
16,Josefa Valcárcel-Gutiérrez Canales
17,Canillejas
18,Medina de Pomar
19,Barrio Aeropuerto
20,Galeón-Bergantín
21,Plaza de la Goleta
22,Avenida de Cantabria-Bergantín
23,Alameda de Osuna
24,Paseo de la Alameda de Osuna 80
25,Avenida de Logroño-Polideportivo
26,Avenida de Logroño-San Severo
27,Avenida de Logroño-Ariadna
28,Avenida General
29,"BARAJAS (Plaza Mayor de Barajas, 14)"
