,Parada
0,CIBELES-AYUNTAMIENTO
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Estación de Atocha
5,Metro Menéndez Pelayo
6,Pacífico
7,Puente de Vallecas
8,Junta Municipal Puente de Vallecas
9,Nueva Numancia
10,Avenida de la Albufera-Sierra del Cadi
11,Arroyo del Olivar-Carlos Martín Álvarez
12,Carlos Martín Álvarez-Javier de Miguel
13,Javier de Miguel-Payaso Fofó
14,Javier de Miguel-San Anselmo
15,Javier de Miguel-Puerto Velate
16,Buenos Aires-Pedro Laborde
17,Buenos Aires-Palomeras
18,Pedro Laborde-Palomeras
19,Pablo Neruda-Avenida de Paloneras
20,Extremeños
21,Aragoneses
22,Biblioteca Miguel Hernández
23,Metro Miguel Hernández
24,Rafael Alberti-San Claudio
25,PALOMERAS (C/ Andaluces)
