,Parada
0,BANCO DE ESPAÑA
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Reina Sofía
5,Palos de la Frontera
6,Santa María de la Cabeza
7,Jaime El Conquistador-Embajadores
8,Jaime El Conquistador
9,Casa del Reloj
10,Legazpi-Matadero
11,Glorieta de Cádiz
12,Almendrales
13,Avenida de Córdoba
14,Hospital 12 de Octubre
15,San Fermín-Orcasur
16,Avenida de Andalucía-Avenida los Rosales
17,Verbena de la Paloma-La Chulapona
18,Bohemios-La del Manojo de Rosas
19,La del Manojo de Rosas-Anoeta
20,Virgen de los Desamparados-Totanes
21,Alcocer-Paseo Talleres
22,Puente Alcocer
23,Junta Municipal Villaverde
24,Villaverde Alto
25,Alberto Palacios-Aladierna
26,Alberto Palacios-Juan Peñalver
27,Astillero
28,Villaverde Alto Cercanías
29,Domingo Párraga-Real de Pinto
30,VILLAVERDE ALTO (C/ Resina)
