,Parada
0,"CIBELES-CASA DE AMÉRICA (Pº. de Recoletos, 2)"
1,BIblioteca Nacional
2,Colón
3,Castellana-Ministerio Interior
4,Castellana-Rubén Darío
5,Emilio Castelar
6,Gregorio Marañón
7,Museo Ciencias Naturales
8,Nuevos Ministerios-Castellana
9,Nuevos Ministerios-Centro Comercial
10,Azca
11,Lima-Santiago Bernabéu
12,Castellana-San Germán
13,Cuzco
14,Castellana-Rosario Pino
15,Juzgados Plaza Castilla
16,Plaza Castilla
17,Castellana-José Vasconcelos
18,Castellana-Ravel
19,Cuatro Torres
20,Hospital La Paz
21,Julio Palacios
22,Metro Begoña
23,San Modesto-Marcos Orueta
24,Llano Castellano-Manuel Tovar
25,Llano Castellano-Valdegovia
26,Llano Castellano-Herrera Oria
27,Nuestra Señora de Valverde-Islas Jarvi
28,Nuestra Señora de Valverde-Sumatra
29,Fuente de la Carra
30,Afueras a Valverde
31,Afueras a Valverde-Bella Altisidora
32,Federico Mompou-Isabel Colbrand
33,Castiello de Jaca-Berdún
34,Castiello de Jaca-Burguete
35,Castiello de Jaca-Puente la Reina
36,Camino de Santiago-Atapuerca
37,Camino de Santiago-San Juan de Ortega
38,Camino de Santiago-San Millán Cogolla
39,San Millán de la Cogolla-Atapuerca
40,Santo Domingo de la Calzada-Atapuerca
41,Valcarlos-Tierra de Melide
42,Tierra de Melide-Atapuerca
43,Monte del Gozo
44,LAS TABLAS (Glorieta Lalín)
