,Parada
0,"CIBELES (Pº Recoletos, 1)"
1,Biblioteca Nacional
2,Metro Colón
3,"Alonso Martínez (C/ Génova, 1)"
4,"Alonso Martínez (C/ Santa Engracia, 4)"
5,Plaza Chamberí
6,Iglesia
7,Santa Engracia-Bretón de los Herreros
8,Metro Ríos Rosas
9,Cuatro Caminos
10,Alvarado
11,Estrecho
12,Bravo Murillo-María Zayas
13,Plaza de la Remonta
14,Avenida de Asturias-Plaza de Castilla
15,Avenida de Asturias-Cañaveral
16,Metro La Ventilla
17,Avenida de Asturias-Pinos Baja
18,Metro Barrio del Pilar
19,"Metro Barrio del Pilar (C/ Ginzo de Limia, 22)"
20,Ginzo de Limia-La Vaguada
21,Ginzo de Limia-Sangenjo
22,Valencia de Don Juan-Ginzo de Limia
23,Valencia de Don Juan-Patones
24,Valencia de Don Juan-Alfredo Marquerie
25,Alfredo Marquerie
26,Nuria-Peña Sirio
27,La Masó-Nuria
28,La Masó-Marbella
29,Costa Brava-La Masó
30,Paco de Lucía
31,Monasterio Silos-Monasterio Huelgas
32,Monasterio Silos-Monasterio Montesclaros
33,Monasterio Silos-Avenida Montecarmelo
34,Metro Montecarmelo
35,Monasterio Silos-Monasterio Liébana
36,Monasterio Silos-Monasterio Sobrado
37,MONTECARMELO (C/ Monasterio de Arlanza)
