,Parada
0,CIBELES-AYUNTAMIENTO
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Estación de Atocha
5,Basílica de Atocha
6,Reina Cristina
7,Mariano de Cavia
8,Av. Mediterráneo-Conde de Casal
9,Conde de Casal
10,El Bosco-Maruja García Romero
11,El Bosco-Pérez de Ayala
12,El Bosco-Pío Felipe
13,El Bosco-Humanes
14,Mediterráneo-Pablo Neruda
15,Mediterráneo-Democracia
16,Mediterráneo-Puentelarra
17,Castrillo de Aza
18,Avenida Santa Eugenia-Castrillo de Aza
19,Avenida Santa Eugenia-Virgen las Viñas
20,Avenida Santa Eugenia-Fuentespina
21,Real de Arganda-Ensanche de Vallecas
22,Real de Arganda
23,Montes de Barbanza-Sierra del Eje
24,Congosto-Puerto Porzuna
25,Congosto-Peña Rivera
26,Congosto
27,Metro La Gavia
28,Ensanche de Vallecas-Peñaranda
29,Ensanche de Vallecas-Gutiérrez Maroto
30,Metro Las Suertes
31,Ensanche de Vallecas-Embalse de Pinilla
32,Metro Valdecarros
33,ENSANCHE VALLECAS
