,Parada
0,CIBELES
1,Puerta de Alcalá-Retiro
2,O Donnell-Retiro
3,O Donnell-Narváez
4,O Donnell-Maiquez
5,Metro O Donnell
6,Torrespaña
7,Marqués de Corbera-Ricardo Ortiz
8,Marqués de Corbera-Montejurra
9,Marqués de Corbera-Gerardo Cordón
10,Marqués de Corbera-Avenida de Daroca
11,Francisco Villaespesa-Lago Constanza
12,Francisco Villaespesa-Ezequiel Solana
13,Ascao
14,Ascao-Luis Ruiz
15,Luis Ruiz
16,Braulio Gutiérrez
17,Metro García Noblejas
18,Hermanos García Noblejas-Gandhi
19,Hermanos García Noblejas-Centro Salud
20,Pobladura del Valle-Arcos de Jalón
21,Pobladura del Valle-San Román del Valle
22,Amposta-Pobladura del Valle
23,Pobladura del Valle-Alconera
24,Metro San Blas
25,Avenida de Canillejas-Pobladura Valle
26,Avenida Canillejas-Julia García Boután
27,Julia García Boután-Niza
28,Suecia-Manchester
29,Suecia-Bucarest
30,LAS ROSAS (Pº Ginebra)
