,Parada
0,"ALONSO MARTÍNEZ (C/ Almagro, 4)"
1,Castellana-Ministerio Interior
2,Colón
3,Biblioteca Nacional
4,Cibeles
5,Carrera de San Jerónimo-Cedaceros
6,Neptuno
7,Museo del Prado-Jardín Botánico
8,Prado-Atocha
9,Estación de Atocha
10,Metro Menéndez Pelayo
11,Pacífico
12,Puente de Vallecas
13,Junta Municipal Puente de Vallecas
14,Nueva Numancia
15,Avenida de la Albufera-Sierra del Cadi
16,Portazgo-Estadio de Vallecas
17,Buenos Aires
18,Alto del Arenal
19,Avenida de la Albufera-Pablo Neruda
20,Metro Miguel Hernández
21,Avenida de la Albufera-Miguel Hernández
22,Avenida de la Albufera-Cocherón Villa
23,Sierra de Guadalupe-San Jaime
24,VILLA VALLECAS (Pza. Juan de Malasaña)
