,Parada
0,CIBELES
1,Puerta de Alcalá-Retiro
2,Escuelas Aguirre-Casa Árabe
3,Felipe II
4,Alcalá-Hermosilla
5,Alcalá-Manuel Becerra
6,Alcalá-Parque Bomberos
7,Ventas
8,Avenida de Daroca-Ricardo Ortiz
9,Avenida de Daroca-Apóstol Santiago
10,Avenida de Daroca-Mateo García
11,Avenida de Daroca-Miguel de Unamuno
12,Avenida de Daroca-Santa Prisca
13,Cementerio La Almudena
14,Largo Caballero-Avenida Daroca
15,Nicolás Salmerón-Crematorio
16,Nicolás Salmerón-Paredes de Nava
17,Nicolás Salmerón-Alsacia
18,Alsacia
19,Aquitania-Capri
20,Aquitania-República Eslovaca
21,Aquitania-Toscana
22,Plaza de la Vicalvarada
23,Calahorra
24,Avenida de Daroca-Calahorra
25,Metro Vicálvaro
26,San Cipriano
27,San Cipriano-Forges
28,Forges-Jardín de la Duquesa
29,Villablanca-Sepiolita
30,Villablanca-Gran Vía del Este
31,Puerta Arganda
32,San Cipriano-Minerva
33,Minerva-Omega
34,VALDERRIVAS (C/ Minerva-C/ Molino Viejo)
