,Parada
0,"CIBELES (Paseo del Prado, 1)"
1,Puerta de Alcalá-Retiro
2,Escuelas Aguirre-Casa Árabe
3,Felipe II
4,Conde de Peñalver-Ayala
5,Lista
6,Juan Bravo-Francisco Silvela
7,Martínez Izquierdo-Francisco Silvela
8,Martínez Izquierdo
9,Biarritz
10,Bruselas
11,Plaza de Venecia
12,Tanatorio M30
13,Avenida de Badajoz
14,Condesa de Venadito-Torrelaguna
15,Hernández de Tejada
16,Nuestra Señora de América
17,Arturo Soria-Conservatorio
18,Arturo Soria-Bueso Pineda
19,Metro Arturo Soria
20,López de Hoyos-Arturo Soria
21,Junta Municipal de Hortaleza
22,Carretera de Canillas-Carril del Conde
23,Carretera de Canillas-Benita Ávila
24,Carretera de Canillas-Gomeznarro
25,Carretera de Canillas-Utrillas
26,Carretera de Canillas-Torquemada
27,Emigrantes-Carretera de Canillas
28,Motilla del Palancar
29,Mota del Cuervo
30,Pedroñeras-El Provencio
31,CANILLAS (Plaza Andrés Jauregui)
