,Parada
0,CIBELES
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Reina Sofía
5,Teatro Circo Price
6,Embajadores-Ronda de Valencia
7,Embajadores-Acacias
8,Olmos
9,Pirámides
10,Marqués de Vadillo
11,Antonio López-Inmaculada Concepción
12,Puente Praga
13,Antonio López-Mariblanca
14,Glorieta de Cádiz
15,Marcelo Usera-Olvido
16,Marcelo Usera-Ferroviarios
17,Marcelo Usera-Gabriel Usera
18,Rafaela Ybarra-Marcelo Usera
19,Junta Municipal Usera
20,Rafaela Ybarra-Pradolongo
21,Polideportivo Orcasitas
22,Rafaela Ybarra-Cestona
23,Unidad
24,Gran Avenida-Camino Viejo Villaverde
25,Plaza de la Asociación
26,Campotejar-Gran Avenida
27,Campotejar-Fernando Ortiz
28,ORCASUR (Pza. Pueblo)
