,Parada
0,BANCO DE ESPAÑA
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Estación de Atocha
5,Metro Menéndez Pelayo
6,Amanecer en Méndez Álvaro
7,Méndez Álvaro-REPSOL
8,Metro Méndez Álvaro
9,Tierno Galván-Planetario
10,Nudo Sur
11,Plaza de Italia
12,Legazpi
13,Glorieta de Cádiz
14,Almendrales
15,Avenida de Córdoba
16,Hospital 12 de Octubre
17,San Fermín-Orcasur
18,Avenida de Andalucía-Avenida los Rosales
19,Orovilla-Generosidad
20,Orovilla-Dulzura
21,Villafuerte
22,Carretera de Vallecas-Sáhara
23,Villaverde Cruce
24,María Droc-San Dalmacio
25,Burjasot
26,"SAN CRISTÓBAL (C/ Godella, 70)"
