,Parada
0,CIBELES
1,Puerta de Alcalá-Retiro
2,Escuelas Aguirre-Casa Árabe
3,Felipe II
4,Alcalá-Hermosilla
5,Alcalá-Manuel Becerra
6,Alcalá-Parque Bomberos
7,Ventas
8,El Carmen
9,Alcalá-Mateo García
10,Quintana
11,Pueblo Nuevo
12,Alcalá-Arcones Gil
13,Alcalá-General Aranaz
14,Alcalá-Santa Leonor
15,Alcalá-Alfonso Gómez
16,Suanzes
17,Alcalá-25 de Septiembre
18,San Romualdo-Albasanz
19,Emilio Muñoz-Miguel Yuste
20,Arcentales-San Romualdo
21,Arcentales-Avenida de Canillejas
22,Avenida de Canillejas-Fenelón
23,Lucano-Fenelón
24,Lucano-Canal del Bósforo
25,Canal del Bósforo-Avenida de Canillejas
26,Avenida de Canillejas-Néctar
27,Alcalá-Avenida Canillejas
28,Alcalá-San Mariano
29,Alcalá-Esfinge
30,Canillejas
31,Alcalá-Avenida Séptima
32,Alcalá-Ciudad Pegaso
33,Avenida Quinta
34,Avenida Quinta-Calle Diez
35,Calle Once-Avenida Segunda
36,Deyanira-Euterpe
37,Deyanira-Pirra
38,Deyanira-Campezo
39,Samaniego-Campezo
40,Arcaute
41,FIN DE SEMANA (Av. Fermina Sevillano)
