,Parada
0,CIBELES
1,Gran Vía-Pedro Zerolo
2,Gran Vía-Montera
3,Gran Vía-Callao
4,Santo Domingo
5,Gran Vía-Plaza de España
6,Jardines de Sabatini
7,Príncipe Pío
8,Glorieta de San Vicente
9,Puente de Segovia
10,Puente de Segovia-Paseo de Extremadura
11,Puerta del Ángel
12,Paseo de Extremadura-Guadarrama
13,Paseo de Extremadura-Albéniz
14,Alto de Extremadura
15,Paseo de Extremadura-El Greco
16,Paseo de Extremadura-Villamanín
17,Surbatán
18,Colonia Lourdes
19,Casa de Campo
20,Paseo de Extremadura-Carretera Boadilla
21,Campamento
22,Paseo de Extremadura-Avenida de los Poblados
23,Paseo de Extremadura 374
24,Paseo de Extremadura 392
25,Paseo de Extremadura km8
26,Aviación Española
27,Avenida de la Aviación-Dehesa Príncipe
28,Avenida de la Aviación-Medina del Campo
29,Base Aérea Cuatro Vientos
30,Avenida de la Aviación-Mirabel
31,Cuacos de Yuste
32,Oliva de Plasencia
33,"SAN IGNACIO (C/ Blas Cabrera, 46)"
