,Parada
0,CIBELES
1,Neptuno
2,Museo del Prado-Jardín Botánico
3,Prado-Atocha
4,Reina Sofía
5,Teatro Circo Price
6,Embajadores-Ronda de Valencia
7,Embajadores-Acacias
8,Olmos
9,Pirámides
10,Yeserías
11,Parque de la Arganzuela
12,Puente Praga
13,La Chopera-Puente Praga
14,Casa del Reloj
15,Legazpi-Matadero
16,Antonio López-Avenida de Córdoba
17,Antonio López-Vado
18,Antonio López-Socuéllamos
19,González Feito
20,Camino de Perales-San Mario
21,San Mario
22,Estafeta-Carabelos
23,Estafeta-Avenida San Fermín
24,Glorieta San Martín de la Vega
25,Avenida de los Rosales-Silvina
26,Avenida de los Rosales-Rutilo
27,Los Rosales-Tanatorio
28,Carretera de Vallecas-Avenida Rosales
29,Avenida de los Rosales-Uranio
30,Centro Cultural Los Rosales
31,Berrocal-Bario
32,Berrocal-Canchal
33,Berrocal-Silvinita
34,Plaza de los Metales
35,Ganados del Salobral
36,"BUTARQUE (C/ Llanos, 3)"
