,Parada
0,"CIBELES-CASA DE AMÉRICA (Paseo de Recoletos, 2)"
1,BIblioteca Nacional
2,Colón
3,Castellana-Ministerio Interior
4,Castellana-Rubén Darío
5,Emilio Castelar
6,Gregorio Marañón
7,Museo Ciencias Naturales
8,Nuevos Ministerios-Castellana
9,Nuevos Ministerios-Centro Comercial
10,Azca
11,Lima-Santiago Bernabéu
12,Castellana-San Germán
13,Cuzco
14,Castellana-Rosario Pino
15,Juzgados Plaza Castilla
16,Junta Municipal Tetuán
17,Pinos Alta-Bravo Murillo
18,Veza
19,Plátano
20,Arroyo
21,Arroyo-Paseo de la Dirección
22,Paseo de la Dirección-Jaramagos
23,Blanco Argibay-Paseo de la Dirección
24,Piedrafita del Cebrero
25,Betanzos-Fernández Almagro
26,Parque de La Vaguada
27,Junta Municipal Fuencarral
28,Monforte de Lemos-La Vaguada
29,Ginzo de Limia-Sangenjo
30,Patones-Sangenjo
31,Narcís Monturiol
32,López Aguado-Arzobispo Morcillo
33,Monforte de Lemos-Finisterre
34,BARRIO DEL PILAR (La Vaguada)
