,Parada
0,CIBELES
1,Gran Vía-Pedro Zerolo
2,Gran Vía-Montera
3,Gran Vía-Callao
4,Santo Domingo
5,Gran Vía-Plaza de España
6,Plaza de España
7,Ventura Rodríguez
8,Argüelles
9,Altamirano
10,Moncloa
11,Junta Municipal Moncloa
12,Cristo Rey-San Francisco de Sales
13,Guzmán el Bueno-San Francisco de Sales
14,Ibáñez Ibero
15,Rubio y Galí-Almansa
16,Rubio y Galí-Jerónima Llorente
17,Rubio y Galí-Pablo Iglesias
18,"Metro Francos Rodríguez (Av. Pablo Iglesias, 92)"
19,Metro Francos Rodríguez
20,Santo Ángel de la Guarda-General Cadenas
21,Santo Ángel de la Guarda-Arciniega
22,Martín Alzaga-Altea
23,Martín Alzaga-Artajona
24,Antonio Machado-Sinesio Delgado
25,Antonio Machado-Centro Cultural
26,Metro Antonio Machado
27,César Manrique-La Cabrera
28,César Manrique-Chantada
29,Fermín Caballero-Isla de Tabarca
30,Fermín Caballero-Islas Cíes
31,Fermín Caballero-Isla de Arosa
32,Isla de Arosa
33,Herrera Oria-Ventisquero de la Condesa
34,Ventisquero de la Condesa-Cerro Minguete
35,Riscos de Polanco
36,Metro Lacoma
37,ARROYO FRESNO (C/ Valle de Pinares)
