,Parada
0,CIBELES
1,Gran Vía-Pedro Zerolo
2,Gran Vía-Montera
3,Gran Vía-Callao
4,Santo Domingo
5,Gran Vía-Plaza de España
6,Jardines de Sabatini
7,Príncipe Pío
8,Glorieta de San Vicente
9,Puente de Segovia
10,Puente de Segovia-Paseo de Extremadura
11,Metro Puerta del Ángel
12,Caramuel-Antillón
13,Caramuel-Sepúlveda (Pº Olivos)
14,Sepúlveda-María del Carmen
15,Sepúlveda-Apóstoles
16,"Lucero (C/ Sepúlveda, 172)"
17,Sepúlveda-Castroserna
18,Sepúlveda-Concejal Francisco Jiménez
19,Concejal Francisco Jiménez-Carboneras
20,Laguna
21,Los Cármenes
22,Duquesa de Parcent
23,Duquesa de Parcent-Cuart de Poblet
24,Camarena-Centro de Salud
25,Camarena-Illescas
26,Illescas-Valmojado
27,Tembleque-Illescas
28,Maqueda
29,ALUCHE (Intercambiador)
