Parada, LAT, LON
Plaza de cibeles bus stop,,
O'Donell bus stop,,
Alcalde Sainz de Baranda bus stop,,
Francisco villaespesa bus stop,,
Marques de corbera bus stop,,
Ascao bus stop,,
Braulio gutierrez bus stop,,
Avenida institucion libre de enseñanda bus stop,,
Pobladura del valle bus stop,,
Avenida Canillejas a Vicalvaro bus stop,,
Julia garcia boutan bus stop,,
Puerta de Ginebra bus stop,,
Suecia bus stop,,

