Parada, LAT, LON
Plaza de cibeles bus stop,,
Plaza recoletos bus stop,,
Maria de molina bus stop,,
Avenida de america bus stop,,
Josefa valcarcel bus stop,,
Angelita cavero bus stop,,
Telemaco bus stop,,
Marquesado de sta maria bus stop,,
J. I Luca de tena bus stop,,
Peonias bus stop,,
Medina de Pomar bus stop,,
Bergantin bus stop,,
Plaza del mar bus stop,,
Avenida de cantabria bus stop,,
Manuel aguilar muñoz bus stop,,
Avenida logroño bus stop,,
Avenida general bus stop,,
Plaza mayor de barajas bus stop,,

